epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,13543.2,0.44598,0.3842,1.04656,0.99354,0.99561,0.9948,0.96205,0.30442,0.16596,0.89425,0.000304904,0.000304904,0.000304904
158,13629.4,0.44425,0.36896,1.04394,0.99376,0.99554,0.99478,0.96247,0.3045,0.16557,0.89402,0.000298209,0.000298209,0.000298209
159,13715.6,0.44604,0.36623,1.04376,0.99354,0.9959,0.99477,0.96267,0.3045,0.16566,0.89379,0.000291645,0.000291645,0.000291645
160,13801.9,0.44279,0.36426,1.04665,0.99434,0.99601,0.99478,0.96279,0.30425,0.16551,0.89363,0.000285213,0.000285213,0.000285213
161,13888.1,0.43765,0.35845,1.03677,0.9943,0.99645,0.9948,0.96308,0.30416,0.16599,0.8935,0.000278914,0.000278914,0.000278914
162,13974.6,0.44095,0.36341,1.04117,0.99412,0.99651,0.99481,0.96265,0.30394,0.16529,0.89338,0.000272749,0.000272749,0.000272749
163,14061.1,0.43656,0.36273,1.0398,0.99423,0.99665,0.99481,0.96283,0.30377,0.16498,0.89314,0.000266721,0.000266721,0.000266721
164,14147.3,0.43758,0.36423,1.03827,0.99454,0.99677,0.99482,0.96288,0.3036,0.1646,0.893,0.00026083,0.00026083,0.00026083
165,14234.1,0.4342,0.36006,1.03833,0.99454,0.99686,0.99483,0.96296,0.30348,0.16406,0.89286,0.000255079,0.000255079,0.000255079
166,14320.2,0.43359,0.36074,1.04072,0.99433,0.99686,0.99482,0.96318,0.30346,0.16386,0.8928,0.000249468,0.000249468,0.000249468
167,14407.1,0.44103,0.37358,1.04289,0.99426,0.99686,0.99483,0.96332,0.30324,0.16414,0.89239,0.000243999,0.000243999,0.000243999
168,14493.5,0.42933,0.35548,1.03278,0.99434,0.99686,0.99484,0.96281,0.30314,0.16354,0.89225,0.000238674,0.000238674,0.000238674
169,14579.6,0.4354,0.36179,1.0389,0.99424,0.99686,0.99483,0.96309,0.30305,0.16356,0.89195,0.000233493,0.000233493,0.000233493
170,14665.2,0.43735,0.36555,1.04153,0.99456,0.99685,0.99484,0.96343,0.30292,0.16303,0.8918,0.000228458,0.000228458,0.000228458
171,14752,0.43799,0.36172,1.03935,0.99427,0.99686,0.99484,0.96403,0.30276,0.16286,0.89171,0.000223571,0.000223571,0.000223571
172,14838.1,0.42658,0.35456,1.03377,0.99362,0.99689,0.99485,0.9634,0.30262,0.16286,0.89148,0.000218831,0.000218831,0.000218831
173,14924.6,0.42626,0.3515,1.03252,0.99385,0.9969,0.99485,0.96355,0.3025,0.16264,0.89145,0.000214242,0.000214242,0.000214242
174,15010.6,0.43437,0.35806,1.04146,0.99398,0.99633,0.99484,0.96368,0.3024,0.1626,0.89134,0.000209803,0.000209803,0.000209803
175,15096.8,0.43835,0.3572,1.04162,0.99332,0.99709,0.99484,0.96334,0.30219,0.16232,0.89116,0.000205516,0.000205516,0.000205516
176,15183.3,0.43138,0.35296,1.03755,0.99307,0.99715,0.99483,0.96319,0.30203,0.16286,0.8911,0.000201381,0.000201381,0.000201381
